COMUNA;CIRCUITO;Autodeterminación y Libertad;Juntos por el Cambio;Frente de Todos;Frente de Izquierda y los Trabajadores;La libertad avanza;EN BLANCO;NULOS;RECURRIDOS;IMPUGNADOS;TOTALES
1;1;238;2688;2314;698;1128;75;92;0;0;7233
1;2;223;2195;2167;655;996;83;78;0;0;6397
1;3;23;1164;187;45;392;17;13;0;0;1841
1;4;17;1133;154;30;312;11;5;0;0;1662
1;5;78;1377;2676;433;969;106;115;0;0;5754
1;6;114;7364;801;273;2164;79;39;0;0;10834
1;7;101;3388;647;231;1066;59;33;0;0;5525
1;8;106;2908;894;271;1052;75;46;0;0;5352
1;9;150;3545;1297;370;1456;69;92;0;0;6979
1;10;195;3820;1624;491;1407;86;88;0;0;7711
1;11;278;3263;2152;611;1371;115;81;0;0;7871
1;12;197;2986;1964;609;1197;97;90;0;0;7140
1;13;264;3402;2344;695;1367;103;94;0;0;8269
1;14;94;1424;864;183;660;43;58;0;0;3326
1;15;210;1969;1738;501;889;74;73;0;0;5454
1;16;163;2147;1762;514;929;80;62;0;0;5658
1;17;277;3052;2556;733;1327;124;104;0;0;8173
1;18;146;1715;1568;387;868;75;82;0;0;4841
1;19;224;2530;2513;624;1270;96;123;0;0;7380
2;20;63;3251;908;229;1000;68;34;0;0;5553
2;21;92;6282;648;253;1817;73;42;0;0;9207
2;22;255;6793;1619;681;1759;146;90;0;0;11343
2;23;306;8448;2144;806;2316;163;122;0;0;14305
2;24;168;5779;1104;394;1677;75;68;0;0;9265
2;25;118;6016;945;325;1650;77;64;0;0;9195
2;26;159;7677;1117;392;2330;90;72;0;0;11837
2;27;169;4948;1394;526;1480;86;91;0;0;8694
2;28;294;6602;2441;883;2050;156;115;0;0;12541
2;29;205;4483;1587;637;1240;127;102;0;0;8381
3;30;209;3555;1582;563;1309;98;91;0;0;7407
3;31;220;3958;1807;591;1463;103;86;0;0;8228
3;32;265;3340;1779;618;1190;106;91;0;0;7389
3;33;174;2691;1567;516;1148;91;97;0;0;6284
3;34;292;4118;2381;799;1648;119;128;0;0;9485
3;35;259;3394;2413;820;1497;118;134;0;0;8635
3;36;184;2027;1880;534;1077;106;98;0;0;5906
3;37;216;2982;2221;671;1296;93;105;0;0;7584
3;38;270;3555;2491;758;1457;93;133;0;0;8757
3;39;288;3624;2415;781;1557;120;111;0;0;8896
3;40;211;2945;1987;612;1120;78;91;0;0;7044
3;41;423;5048;4024;1205;2151;170;172;0;0;13193
3;42;328;4461;3276;977;1863;133;154;0;0;11192
4;43;314;3590;2686;776;1497;123;130;0;0;9116
4;44;207;2641;2152;665;1152;80;90;0;0;6987
4;45;114;1880;1655;442;791;70;92;0;0;5044
4;46;133;1663;1512;426;797;54;68;0;0;4653
4;47;190;2338;5581;743;1724;185;120;0;0;10881
4;48;266;4357;2728;773;1518;123;128;0;3;9896
4;49;267;3265;2773;670;1692;121;158;0;0;8946
4;50;338;4822;2409;801;1678;126;147;0;0;10321
4;51;280;3594;1860;534;1225;92;106;0;0;7691
4;52;209;2842;2867;672;1591;101;124;1;0;8407
4;53;245;3354;3350;749;1689;190;114;0;0;9691
4;54;276;4355;3253;949;1766;132;144;0;0;10875
4;55;229;2559;2399;537;1236;94;140;0;0;7194
4;56;198;2190;2094;499;1179;73;109;0;0;6342
4;57;463;5221;4148;1099;2453;172;191;0;0;13747
5;58;354;4115;3320;989;1812;148;158;0;0;10896
5;59;288;3732;2987;947;1472;101;142;0;0;9669
5;60;420;4902;3478;1115;1668;153;162;0;0;11898
5;61;358;5155;2843;1042;1751;136;100;0;0;11385
5;62;269;3059;2203;732;1183;88;89;0;0;7623
5;63;512;6387;3790;1318;2245;172;179;0;0;14603
5;64;541;6703;4224;1505;2189;195;167;0;0;15524
5;65;334;4301;2503;900;1542;121;115;0;0;9816
5;66;354;4213;2544;937;1440;111;92;0;0;9691
5;67;573;6502;3978;1474;2031;179;163;0;0;14900
6;68;598;6648;3893;1487;2041;179;177;0;0;15023
6;69;663;11411;4568;1685;3304;283;224;0;1;22139
6;70;769;9050;4892;1762;2819;246;202;0;0;19740
6;71;784;12037;5150;1743;3488;279;220;0;0;23701
6;72;447;4257;2740;1041;1590;116;151;0;0;10342
6;73;555;5993;3465;1270;1935;185;172;0;0;13575
6;74;563;9823;3699;1402;2852;220;166;0;0;18725
7;75;294;3502;2003;671;1262;96;114;0;0;7942
7;76;479;5614;3340;1100;2034;180;175;0;1;12923
7;77;375;3963;3051;854;1751;156;148;0;0;10298
7;78;237;3168;2429;586;1468;97;145;0;0;8130
7;79;270;4393;2178;780;1636;140;110;0;0;9507
7;80;368;4689;2401;865;1652;124;111;0;0;10210
7;81;293;4583;2074;729;1412;120;117;0;0;9328
7;82;317;4813;2644;854;1800;138;130;0;0;10696
7;83;423;8028;3105;1061;2539;163;170;0;0;15489
7;84;307;3568;2236;699;1508;119;111;0;0;8548
7;85;201;2857;1425;493;1031;65;90;0;0;6162
7;86;498;5731;7491;1577;4206;290;309;0;0;20102
8;87;557;6247;9308;1714;3890;309;368;0;0;22393
8;88;322;5128;3257;818;2480;163;231;0;0;12399
8;89;882;12145;11656;2581;6779;489;566;0;0;35098
8;90;820;11149;12355;2400;6024;511;514;0;0;33773
9;91;132;1748;2694;534;1586;110;88;0;0;6892
9;92;311;4025;2800;850;1892;148;145;0;0;10171
9;93;211;2300;1966;455;1158;98;107;0;0;6295
9;94;261;3128;2489;731;1405;114;118;0;0;8246
9;95;422;5499;3723;1002;2340;165;222;0;0;13373
9;96;281;3384;2686;716;1689;149;132;0;0;9037
9;97;266;3156;3017;670;1540;131;88;0;2;8870
9;98;509;7179;4460;1058;3116;200;223;0;0;16745
9;99;263;4012;2041;551;1523;113;108;0;0;8611
9;100;368;4882;2706;745;1992;150;159;0;0;11002
